id	category	subject	iiif_url	source_url	institution	tier	iiif_note
bathsheba-letter	old_testament	Bathsheba receives a letter from David	https://media.rkd.nl/iiif/2/10661333/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F269073	rkd		
gathering-manna	old_testament	The Gathering of Manna	https://iiif.artresearch.net/iiif/3/frick/4107100309903_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012200759707141	frick		
hagar-ishmael	old_testament	Hagar Ishmael and the Angel in the Wilderness	https://iiif.artresearch.net/iiif/3/zeri/120000/106400/106241.jpg/info.json	https://artresearch.net/resource/zeri/work/51672	zeri		
prodigal-son-brothel	old_testament	The Prodigal Son chased from the brothel after spending all his money (Luke 15:13)	https://media.rkd.nl/iiif/2/9159469/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F195192	rkd		
jephtha-daughter	old_testament	Jephtha welcomed by his daughter (Judges 11:29-40)	https://media.rkd.nl/iiif/2/9229920/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F208955	rkd		
judah-tamar	old_testament	Judah's love-affair with Tamar; he gives her his signet-ring and staff	https://media.rkd.nl/iiif/2/9682081/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F55524	rkd		
diana-actaeon	mythology	Diana and Actaeon	https://iiif.artresearch.net/iiif/3/frick/4107100328587_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013309749707141	frick		
jupiter-mercury	mythology	Jupiter and Mercury	https://iiif.artresearch.net/iiif/3/frick/4107100314981_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012831439707141	frick		
judgement-midas	mythology	The Judgement of Midas	https://iiif.artresearch.net/iiif/3/frick/4107100318926_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012521729707141	frick		
embassy-hippolyta	mythology	The Embassy of Hippolyta Queen of the Amazons to Theseus King of Athens	https://iiif.artresearch.net/iiif/3/frick/4107100308468_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012154549707141	frick		
jason-dragon	mythology	Episode from the Legend of the Argonauts: Jason Slaying the Sleepless Dragon	https://iiif.artresearch.net/iiif/3/frick/56480_POST.tif/info.json	https://artresearch.net/resource/pharos/artwork/397538fdbf2e8604799315523c98a9b8585771f2	pharos		
circe-sorceress	mythology	The Sorceress Circe	https://iiif.artresearch.net/iiif/3/frick/4107100289952_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013381109707141	frick		
apollo-muses	mythology	Apollo and the Muses	https://iiif.artresearch.net/iiif/3/frick/4107100328032_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013294649707141	frick		
rape-deianira	mythology	The Rape of Deianira	https://iiif.artresearch.net/iiif/3/frick/4107100295528_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013086649707141	frick		
taking-athens-minos	mythology	The Taking of Athens by Minos	https://iiif.artresearch.net/iiif/3/frick/4107100296561_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013059519707141	frick		
flood-deucalion	mythology	A Scene from Greek Mythology: The Flood of the Age of Deucalion	https://iiif.artresearch.net/iiif/3/frick/4107100323284_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012638879707141	frick		
abduction-helen	mythology	The Abduction of Helen	https://iiif.artresearch.net/iiif/3/frick/4107100317886_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991012626099707141	frick		
lot-daughters	old_testament	Lot and His Daughters	https://iiif.artresearch.net/iiif/3/frick/4107100322001_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013499629707141	frick		
joseph-cup-dream	old_testament	Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream	https://iiif.artresearch.net/iiif/3/frick/57196_POST.tif/info.json	https://artresearch.net/resource/frick/work/991013469279707141	frick		
abraham-melchizedek	old_testament	Abraham Meeting Melchizedek	https://iiif.artresearch.net/iiif/3/frick/56823_POST.tif/info.json	https://artresearch.net/resource/frick/work/991013415829707141	frick		
abigail-david	old_testament	Abigail in Supplication before David	https://iiif.artresearch.net/iiif/3/frick/4107100263573_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013399629707141	frick		
saul-witch-endor	old_testament	Saul Coming to Consult the Witch of Endor	https://iiif.artresearch.net/iiif/3/frick/4107100263571_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013399579707141	frick		
naaman-syrian	old_testament	The Story of the Syrian Captain Naaman	https://iiif.artresearch.net/iiif/3/frick/4107100250039_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991000104979707141	frick		
abram-lot-divide	old_testament	Abram and Lot Dividing up the World between Them	https://iiif.artresearch.net/iiif/3/frick/4107100269574_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013358939707141	frick		
jeremiah-baruch	old_testament	Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe	https://iiif.artresearch.net/iiif/3/frick/3107100095324_001.tif/info.json	https://artresearch.net/resource/frick/work/991013328429707141	frick		
sennacherib-angel	old_testament	The Forces of Sennacherib put to Rout by the Angel	https://iiif.artresearch.net/iiif/3/frick/4107100223194_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013324789707141	frick		
moses-crown-pharaoh	old_testament	The Child Moses Trampling on the Crown of the Pharaohs	https://iiif.artresearch.net/iiif/3/frick/4107100398385_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013286479707141	frick		
sacrifice-jephthah	old_testament	Sacrifice of Jephthah	https://iiif.artresearch.net/iiif/3/frick/4107100290801_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013122489707141	frick		
judgement-solomon	old_testament	Judgement of Solomon	https://iiif.artresearch.net/iiif/3/frick/4107100304439_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013107979707141	frick		
tobit-tobias	old_testament	Tobit Blessing Tobias	https://iiif.artresearch.net/iiif/3/frick/4107100295918_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013096529707141	frick		
jacob-esau-reconcile	old_testament	Reconciliation of Jacob and Esau	https://iiif.artresearch.net/iiif/3/frick/4107100298515_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013070669707141	frick		
elisha-shunem-woman	old_testament	The Prophet Elisha and the Rich Woman of Shunem	https://iiif.artresearch.net/iiif/3/frick/4107100212912_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013023559707141	frick		
